Tickers;Name;Volatility;Spot;Interest_Rate;Dividend
OR FP EQUITY;L'OREAL;14,01454495;238,4;2,881152461;3,85
DG FP EQUITY;VINCI SA;16,68529114;85,96;3,022813272;2,67
URW NA EQUITY;UNIBAIL-RODAMCO-WESTFIELD;16,35464276;152,64;1,882189047;10,8
FP FP EQUITY;TOTAL SA;19,70963744;49,63;4,122088447;2,169518948
AI FP EQUITY;AIR LIQUIDE SA;16,34661721;112,85;2,151088348;2,65
DSY FP EQUITY;DASSAULT SYSTEMES SA;20,22950227;132,1;1,242;0,58
CS FP EQUITY;AXA SA;11,77790353;22,34;0;1,34
BNP FP EQUITY;BNP PARIBAS;26,60258995;41,375;0;3,02
BN FP EQUITY;DANONE;16,49611121;67,74;2,114949952;1,94
CAP FP EQUITY;CAPGEMINI SE;26,10423539;104,7;1,813048001;1,7
CA FP EQUITY;CARREFOUR SA;14,47651395;16,5;1,494544911;0,46
SGO FP EQUITY;COMPAGNIE DE SAINT GOBAIN;26,51260804;31,075;2,982107356;1,3
AC FP EQUITY;ACCOR SA;22,45072756;36,69;2,171428571;1,05
EL FP EQUITY;ESSILORLUXOTTICA;40,17457278;98,68;0,303490137;2,04
VIV FP EQUITY;VIVENDI;11,81148312;25,77;1,447963801;0,5
MC FP EQUITY;LVMH MOET HENNESSY LOUIS VUI;15,78702358;322,4;1,424274593;6
ML FP EQUITY;MICHELIN (CGDE);21,5689589;103,85;5,341314608;3,7
KER FP EQUITY;KERING;19,27700285;503,2;1,677792169;10,5
UG FP EQUITY;PEUGEOT SA;30,44631045;21,05;4,086342655;0,78
PUB FP EQUITY;PUBLICIS GROUPE;16,5973329;47,79;2,013673089;2,12
RNO FP EQUITY;RENAULT SA;27,9645948;56,8;0,721895896;3,55
SW FP EQUITY;SODEXO SA;19,2008468;97,18;2,920870951;2,75
SAF FP EQUITY;SAFRAN SA;15,90939671;118,3;1,667397982;1,82
FR FP EQUITY;VALEO SA;33,67709388;26,09;1,959489212;1,25
RMS FP EQUITY;HERMES INTERNATIONAL;15,47053369;589,6;0;4,1
FTI FP EQUITY;TECHNIPFMC PLC;31,44506225;20,66;11,98752284;0
ENGI FP EQUITY;ENGIE;12,53594284;13,215;2,209246792;1,12
ORA FP EQUITY;ORANGE;16,7622438;14,405;4,205480691;0,7
MT NA EQUITY;ARCELORMITTAL;38,749169;17,974;5,407107158;0,2
EN FP EQUITY;BOUYGUES SA;22,85241458;31,66;3,655704547;1,7
VIE FP EQUITY;VEOLIA ENVIRONNEMENT;12,95290839;19,805;2,215038064;0,92
SAN FP EQUITY;SANOFI;13,99274329;78,48;1,968141945;3,07
GLE FP EQUITY;SOCIETE GENERALE SA;31,93188213;25,37;0;2,2
SU FP EQUITY;SCHNEIDER ELECTRIC SE;22,18395183;68,58;3,186656722;2,2
AIR FP EQUITY;AIRBUS SE;24,55404224;116,28;3,889502762;1,65
LR FP EQUITY;LEGRAND SA;18,18059289;58,86;2,486795775;1,34
ACA FP EQUITY;CREDIT AGRICOLE SA;27,19704071;10,49;0;0,69
ATO FP EQUITY;ATOS SE;24,56190841;86,22;0,868267535;1,2
RI FP EQUITY;PERNOD RICARD SA;14,83707708;159,85;4,396822464;2,36
STM FP EQUITY;STMICROELECTRONICS NV;43,86836008;14,14;2,990861257;0,06
HSBA LN Equity;HSBC HOLDINGS PLC;16,33529318;613,4;0;0,51
BP/ LN Equity;BP PLC;20,06068762;550,6;4,115353913;0,405
RDSA LN Equity;ROYAL DUTCH SHELL PLC-A SHS;17,85660376;2394,5;4,369526553;1,88
RDSB LN Equity;ROYAL DUTCH SHELL PLC-B SHS;17,70719976;2404;4,369526553;1,88
AZN LN Equity;ASTRAZENECA PLC;18,95662162;6420;4,014084507;2,8
GSK LN Equity;GLAXOSMITHKLINE PLC;16,78904281;1564,2;3,137672931;0,8
DGE LN Equity;DIAGEO PLC;16,08654606;3129;4,170185811;0,653
BATS LN Equity;BRITISH AMERICAN TOBACCO PLC;31,4024701;3089,5;3,312740437;2,03
RIO LN Equity;RIO TINTO PLC;23,27875679;4313,5;8,050507517;3,07
ULVR LN Equity;UNILEVER PLC;16,9115149;4361,5;2,463295269;1,5488
LLOY LN Equity;LLOYDS BANKING GROUP PLC;22,17309594;61,81;0;0,0321
PRU LN Equity;PRUDENTIAL PLC;26,3121511;1546;0;0,4935
RB/ LN Equity;RECKITT BENCKISER GROUP PLC;25,20453987;6386;3,257881973;1,707
VOD LN Equity;VODAFONE GROUP PLC;19,13469415;142,74;2,945536972;0,1507
BHP LN Equity;BHP GROUP PLC;22,44436653;1786;4,769636341;0,98
GLEN LN Equity;GLENCORE PLC;23,11362309;308,6;5,054549675;0,2
REL LN Equity;RELX PLC;17,25294467;1624,5;3,150284042;0,421
NG/ LN Equity;NATIONAL GRID PLC;10,17251394;889,7;4,082297378;0,4459
CPG LN Equity;COMPASS GROUP PLC;8,854998955;1753,5;2,719790051;0,377
BARC LN Equity;BARCLAYS PLC;26,20623246;153,76;0;0,065
IMB LN Equity;IMPERIAL BRANDS PLC;17,65879494;2573;4,049869622;1,8779
TSCO LN Equity;TESCO PLC;17,6124159;229;3,599495489;0,03
AAL LN Equity;ANGLO AMERICAN PLC;30,19582273;1998;5,74921211;0,51
CRH LN Equity;CRH PLC;23,19592189;2288;3,874624104;0,72
EXPN LN Equity;EXPERIAN PLC;25,93567262;2036;3,232692894;0,4475
BT/A LN Equity;BT GROUP PLC;16,93032674;222,7;3,66088632;0,154
LGEN LN Equity;LEGAL & GENERAL GROUP PLC;23,65720827;268,8;0;0,1642
AV/ LN Equity;AVIVA PLC;23,22826396;405,5;0;0,3
STAN LN Equity;STANDARD CHARTERED PLC;24,65971717;576;0;0,21
RR/ LN Equity;ROLLS-ROYCE HOLDINGS PLC;16,50023676;892,4;2,625766871;0
BA/ LN Equity;BAE SYSTEMS PLC;27,70442722;454,5;4,867573372;0,222
LSE LN Equity;LONDON STOCK EXCHANGE GROUP;19,64725889;4607;3,464870067;0,432
SN/ LN Equity;SMITH & NEPHEW PLC;16,0603967;1506;4,048027444;0,36
SSE LN Equity;SSE PLC;10,68659928;1221;0,686519418;0,947
RBS LN Equity;ROYAL BANK OF SCOTLAND GROUP;35,34399797;247,2;0;0
FERG LN Equity;FERGUSON PLC;37,42873374;4806,5;2,554179567;1,893
WPP LN Equity;WPP PLC;21,91784234;800;4,210013004;0,6
WTB LN Equity;WHITBREAD PLC;26,63930031;5026;4,29545939;1,0115
INF LN Equity;INFORMA PLC;27,35553917;733,4;4,249118684;0,1485
III LN Equity;3I GROUP PLC;16,61211815;956;0;0,3
MRO LN Equity;MELROSE INDUSTRIES PLC;30,07669883;181,3;7,408922524;0,046
AHT LN Equity;ASHTEAD GROUP PLC;29,77583617;1809,5;4,155666559;0,33
ABF LN Equity;ASSOCIATED BRITISH FOODS PLC;23,78921965;2370;5,921450151;0,45
IHG LN Equity;INTERCONTINENTAL HOTELS GROU;17,59480813;4550,5;3,092783505;1,129473684
BNZL LN Equity;BUNZL PLC;11,00694004;2439;3,206176447;0,502
IAG LN Equity;INTL CONSOLIDATED AIRLINE-DI;25,16906726;511,2;2,924528302;0,31
MCRO LN Equity;MICRO FOCUS INTERNATIONAL;11,08886666;1953,5;5,634802659;0,9293
ITRK LN Equity;INTERTEK GROUP PLC;21,02544585;4776;3,144880567;0,991
BRBY LN Equity;BURBERRY GROUP PLC;19,68116932;1884;6,956521739;0,413
SGE LN Equity;SAGE GROUP PLC/THE;16,06088519;689;3,492063492;0,165
NXT LN Equity;NEXT PLC;22,74686767;5492;3,331927457;1,6
SMT LN Equity;SCOTTISH MORTGAGE INV TR PLC;21,37672684;490,4;0;0
SGRO LN Equity;SEGRO PLC;16,78652627;661,8;3,979568145;0,188
PSN LN Equity;PERSIMMON PLC;28,99436713;2167;0;2,35
CNA LN Equity;CENTRICA PLC;14,39675129;117,85;4,830828801;0,12
LAND LN Equity;LAND SECURITIES GROUP PLC;13,48784719;909;10,19321467;0,442
PSON LN Equity;PEARSON PLC;22,23121162;830,4;4,653739612;0,185
DCC LN Equity;DCC PLC;23,52388912;6575;3,933822008;1,2298
RTO LN Equity;RENTOKIL INITIAL PLC;18,81997453;346,9;2,871425715;0,04471
SLA LN Equity;STANDARD LIFE ABERDEEN PLC;29,19512269;258;2,699460108;0,216
CRDA LN Equity;CRODA INTERNATIONAL PLC;13,4600778;4948;3,143919278;0,87
HLMA LN Equity;HALMA PLC;12,14962151;1657;2,864750579;0,1468
CCL LN Equity;CARNIVAL PLC;46,59179007;3812;2,356798852;1,95
MNDI LN Equity;MONDI PLC;23,68831919;1666;4,236588721;0,76
BDEV LN Equity;BARRATT DEVELOPMENTS PLC;19,31642171;593,6;8,981132075;0,265
JMAT LN Equity;JOHNSON MATTHEY PLC;24,36844281;3123;3,755416466;0,8
OCDO LN Equity;OCADO GROUP PLC;27,93273666;1306;3,980503656;0
UU/ LN Equity;UNITED UTILITIES GROUP PLC;20,70426551;842,4;3,995606924;0,3973
TW/ LN Equity;TAYLOR WIMPEY PLC;23,742235;175,55;5,528612997;0,0624
BLND LN Equity;BRITISH LAND CO PLC;17,63860379;594,2;2,434077079;0,3008
SMIN LN Equity;SMITHS GROUP PLC;16,23203555;1385;3,810657934;0,4455
STJ LN Equity;ST JAMES'S PLACE PLC;26,31101322;1001;0;0,4822
CCH LN Equity;COCA-COLA HBC AG-DI;19,75770049;2634;2,878722219;0,57
SPX LN Equity;SPIRAX-SARCO ENGINEERING PLC;13,57023529;7050;1,981868016;1
RSA LN Equity;RSA INSURANCE GROUP PLC;17,12137307;502,2;0;0,21
SKG LN Equity;SMURFIT KAPPA GROUP PLC;34,55068135;2118;4,736306843;0
MRW LN Equity;WM MORRISON SUPERMARKETS;15,45326758;224,4;3,992322457;0,0628
KGF LN Equity;KINGFISHER PLC;37,83829146;230,3;11,36363636;0,1082
SVT LN Equity;SEVERN TRENT PLC;18,28530297;2047;3,816793893;0,8655
DLG LN Equity;DIRECT LINE INSURANCE GROUP;12,51107799;351,8;0;0,21
HL/ LN Equity;HARGREAVES LANSDOWN PLC;19,75994241;1799,5;0;0,307
ITV LN Equity;ITV PLC;28,29820541;126,85;2,850356295;0,08
AUTO LN Equity;AUTO TRADER GROUP PLC;19,32847935;516,2;2,805611222;0,059
PPB LN Equity;PADDY POWER BETFAIR PLC;30,68460455;5915;4,340277778;2
BKG LN Equity;BERKELEY GROUP HOLDINGS/THE;21,81617423;3775;3,1;0
RMV LN Equity;RIGHTMOVE PLC;11,6871226;506,5;7,520294073;0,04
MKS LN Equity;MARKS & SPENCER GROUP PLC;20,34183105;269,6;4,739312949;0,187
ADM LN Equity;ADMIRAL GROUP PLC;15,11385271;2139;0;1,18
HSX LN Equity;HISCOX LTD;15,09418774;1561;0;0,419
JE/ LN Equity;JUST EAT PLC;33,37476094;752,8;5,996131528;0
SMDS LN Equity;DS SMITH PLC;32,00206852;325,9;3,291679366;0,136775562
SBRY LN Equity;SAINSBURY (J) PLC;27,8033104;235,5;5,976185127;0,102
PHNX LN Equity;PHOENIX GROUP HOLDINGS PLC;21,3513168;658,2;0;0,46
TUI LN Equity;TUI AG-DI;30,9959354;779,2;7,426873857;0,65
ANTO LN Equity;ANTOFAGASTA PLC;30,79236197;940,6;4,363203014;0,438
EVR LN Equity;EVRAZ PLC;33,1120156;609,8;7,276043778;0,4
SDR LN Equity;SCHRODERS PLC;20,01819015;2709;0;1,14
EZJ LN Equity;EASYJET PLC;37,74677371;1123,5;2,258726899;0,586
HIK LN Equity;HIKMA PHARMACEUTICALS PLC;49,36013472;1745,5;11,33144476;0,38
NMC LN Equity;NMC HEALTH PLC;40,32790652;2376;5,752915685;0,181
FRES LN Equity;FRESNILLO PLC;24,97585174;871,4;4,534593818;0,405
1COV GY Equity;COVESTRO AG;27,26730631;47,09;5,466666667;2,4
ADS GY Equity;ADIDAS AG;28,01054498;213,8;3,023758099;3,35
ALV GY Equity;ALLIANZ SE-REG;9,251098009;197,16;0;9
BAS GY Equity;BASF SE;19,01002323;65,24;2,778277982;3,2
BAYN GY Equity;BAYER AG-REG;54,1563426;57,15;5,003610108;2,8
BEI GY Equity;BEIERSDORF AG;8,927493958;91,58;13,63636364;0,7
BMW GY Equity;BAYERISCHE MOTOREN WERKE AG;30,06494384;68;0,394925312;3,5
CON GY Equity;CONTINENTAL AG;25,89385505;136,55;6,232863574;4,75
DAI GY Equity;DAIMLER AG-REGISTERED SHARES;25,19259574;50,48;0,583032504;3,25
DB1 GY Equity;DEUTSCHE BOERSE AG;21,20083066;113;3,963138282;2,7
DBK GY Equity;DEUTSCHE BANK AG-REGISTERED;37,73440284;7,3;0;0,11
DPW GY Equity;DEUTSCHE POST AG-REG;19,41997968;28,66;5,608559964;1,15
DTE GY Equity;DEUTSCHE TELEKOM AG-REG;12,68852243;15,65;3,555691399;0,7
EOAN GY Equity;E.ON SE;15,5118316;9,96;10,3636443;0,43
FME GY Equity;FRESENIUS MEDICAL CARE AG &;22,93619525;70,54;5,982040447;1,17
FRE GY Equity;FRESENIUS SE & CO KGAA;36,18456031;48,66;4,960374924;0,8
HEI GY Equity;HEIDELBERGCEMENT AG;18,00349549;63,12;2,978450797;2,1
HEN3 GY Equity;HENKEL AG & CO KGAA VORZUG;9,46721068;88,54;1,603613778;1,83
IFX GY Equity;INFINEON TECHNOLOGIES AG;31,32167456;18,78;4,04040404;0,27
LHA GY Equity;DEUTSCHE LUFTHANSA-REG;33,596753;19,515;1,657179912;0,8
LIN GY Equity;LINDE PLC;15,71914564;150,6;0;0
MRK GY Equity;MERCK KGAA;18,49916276;99,08;3,043344605;1,25
MUV2 GY Equity;MUENCHENER RUECKVER AG-REG;21,50161142;207,6;0;9,25
RWE GY Equity;RWE AG;30,20318224;23,89;1,803155522;0,7
SAP GY Equity;SAP SE;18,13495604;100,62;3,414874405;1,5
SIE GY Equity;SIEMENS AG-REG;23,27759728;94,94;3,160323287;3,8
TKA GY Equity;THYSSENKRUPP AG;27,65669887;12,155;4,005945219;0,15
VNA GY Equity;VONOVIA SE;11,53519769;46,85;2,106107829;1,442
VOW3 GY Equity;VOLKSWAGEN AG-PREF;23,98417795;138,54;0,873135697;4,8
WDI GY Equity;WIRECARD AG;141,2656847;124,9;2,455063363;0,16
